iter	Passed	Remaining
0	2	243
1	6	316
2	8	282
3	10	241
4	12	234
5	16	258
6	20	271
7	24	278
8	28	286
9	38	350
10	57	461
11	63	462
12	66	445
13	69	427
14	73	415
15	76	399
16	91	445
17	94	429
18	99	422
19	102	411
20	107	404
21	113	401
22	116	391
23	119	379
24	122	366
25	124	352
26	130	352
27	132	339
28	136	333
29	141	330
30	144	321
31	146	310
32	147	300
33	152	296
34	157	292
35	160	285
36	163	277
37	165	270
38	168	264
39	171	257
40	173	249
41	174	240
42	179	237
43	181	230
44	186	228
45	189	223
46	191	216
47	195	212
48	198	206
49	200	200
50	204	196
51	208	192
52	209	185
53	213	181
54	214	175
55	216	169
56	217	164
57	221	160
58	224	156
59	227	151
60	231	148
61	234	143
62	237	139
63	244	137
64	247	133
65	250	129
66	252	124
67	254	119
68	258	116
69	260	111
70	262	107
71	265	103
72	267	98
73	269	94
74	276	92
75	278	87
76	280	83
77	283	79
78	286	76
79	288	72
80	290	68
81	292	64
82	294	60
83	295	56
84	300	52
85	302	49
86	304	45
87	308	42
88	310	38
89	314	34
90	319	31
91	320	27
92	322	24
93	325	20
94	328	17
95	329	13
96	332	10
97	335	6
98	337	3
99	339	0
