iter	Passed	Remaining
0	375	375052
1	424	211662
2	645	214587
3	728	181300
4	829	165166
5	945	156678
6	1100	156165
7	1188	147388
8	1310	144312
9	1477	146306
10	1598	143721
11	1729	142361
12	1948	147954
13	2072	145967
14	2150	141243
15	2198	135232
16	2268	131170
17	2370	129317
18	2469	127484
19	2652	129995
20	2715	126608
21	2762	122802
22	2872	122037
23	2950	120005
24	3112	121405
25	3255	121947
26	3407	122791
27	3643	126495
28	3815	127742
29	3917	126656
30	4034	126118
31	4087	123657
32	4200	123085
33	4256	120929
34	4423	121956
35	4485	120117
36	4598	119684
37	4753	120340
38	4818	118732
39	5035	120853
40	5206	121773
41	5348	121993
42	5489	122166
43	5598	121648
44	5757	122185
45	5840	121125
46	5981	121274
47	6139	121760
48	6246	121237
49	6369	121017
50	6440	119836
51	6588	120108
52	6646	118758
53	6775	118688
54	6880	118218
55	6947	117110
56	7078	117111
57	7128	115772
58	7319	116736
59	7387	115739
60	7456	114785
61	7547	114189
62	7636	113574
63	7814	114284
64	7964	114566
65	8070	114207
66	8218	114439
67	8308	113869
68	8497	114653
69	8580	113992
70	8715	114042
71	8797	113388
72	8898	113004
73	9088	113730
74	9175	113160
75	9262	112613
76	9411	112810
77	9544	112823
78	9625	112211
79	9773	112398
80	9822	111439
81	9903	110868
82	10023	110738
83	10140	110575
84	10314	111028
85	10420	110750
86	10542	110632
87	10619	110061
88	10835	110907
89	11024	111473
90	11177	111651
91	11381	112329
92	11523	112383
93	11720	112962
94	11823	112632
95	11938	112419
96	12125	112878
97	12292	113138
98	12386	112732
99	12490	112413
100	12617	112311
101	12726	112045
102	12859	111992
103	13000	112004
104	13082	111516
105	13264	111869
106	13384	111706
107	13454	111120
108	13501	110362
109	13603	110062
110	13645	109290
111	13734	108894
112	13817	108458
113	13883	107898
114	13932	107221
115	13982	106552
116	14064	106148
117	14166	105886
118	14320	106019
119	14407	105651
120	14549	105691
121	14672	105595
122	14795	105495
123	14874	105078
124	15036	105258
125	15247	105762
126	15377	105708
127	15603	106302
128	15673	105827
129	15809	105800
130	15896	105453
131	16059	105605
132	16108	105010
133	16375	105830
134	16570	106173
135	16738	106338
136	16805	105863
137	17035	106410
138	17112	105996
139	17178	105523
140	17273	105231
141	17339	104768
142	17451	104589
143	17507	104071
144	17573	103623
145	17689	103470
146	17762	103070
147	17809	102526
148	17873	102082
149	18007	102042
150	18091	101720
151	18159	101308
152	18262	101102
153	18359	100855
154	18439	100523
155	18500	100090
156	18643	100105
157	18745	99896
158	18827	99587
159	18898	99215
